Date,SKU,Qty,Amount,Stock,Category,Size
2021-06-05,BL097-M,1,324.0,25,,
2021-06-05,BL103-S,1,389.0,29,,
2021-06-05,BL104-M,1,422.0,49,,
2021-06-05,BL104-XL,1,422.0,20,,
2021-06-05,MEN5003-KR-L,1,617.0,21,,
2021-06-05,MEN5003-KR-XXL,1,617.0,4,,
2021-06-05,MEN5004-KR-L,1,617.0,5,,
2021-06-05,MEN5004-KR-XL,1,617.0,11,,
2021-06-05,MEN5004-KR-XXL,1,617.0,3,,
2021-06-05,MEN5006-KR-XL,1,649.0,16,,
2021-06-05,MEN5009-KR-L,1,617.0,12,,
2021-06-05,MEN5011-KR-L,1,617.0,7,,
2021-06-05,MEN5013-KR-S,1,649.0,5,,
2021-06-05,MEN5013-KR-XXL,1,649.0,6,,
2021-06-05,MEN5014-KR-S,1,649.0,28,,
2021-06-05,MEN5015-KR-XL,1,617.0,16,,
2021-06-05,MEN5022-KR-XXL,1,649.0,27,,
2021-06-05,MEN5025-KR-L,1,649.0,4,,
2021-06-05,MEN5028-KR-L,1,649.0,19,,
2021-06-05,MEN5028-KR-XXL,1,649.0,15,,
2021-06-08,BTM008-XXL,1,357.0,6,,
2021-06-08,BTM029-NP-XXL,1,357.0,0,,
2021-06-08,BTM035-NP-XXL,1,357.0,3,,
2021-06-08,CH202-ORANGE-XXL,1,292.0,3,,
2021-06-08,CH205-YELLOW-XXL,1,292.0,2,,
2021-06-08,CH207-PINK-XXL,1,292.0,2,,
2021-06-08,CH208-MUSTARD-XXL,1,292.0,4,,
2021-06-08,CH209-BIEGE-XXL,1,292.0,2,,
2021-06-08,CH213-BROWN-XXL,1,292.0,3,,
2021-06-08,J0001-DR-L,1,584.0,2,,
2021-06-08,J0024-KR-L,1,519.0,135,,
2021-06-08,J0036-TP-XL,1,531.0,1,,
2021-06-08,J0092-SET-L,1,1072.0,5,,
2021-06-08,J0116-TP-XL,1,422.0,0,,
2021-06-08,J0119-TP-L,1,422.0,52,,
2021-06-08,J0122-TP-L,1,422.0,4,,
2021-06-08,J0165-TP-L,1,454.0,3,,
2021-06-08,J0197-TP-L,1,584.0,2,,
2021-06-08,J0201-TP-L,1,584.0,4,,
2021-06-08,J0213-TP-L,1,584.0,3,,
2021-06-08,J0214-TP-L,1,649.0,8,,
2021-06-08,J0233-SKD-L,1,1429.0,48,,
2021-06-08,J0234-SKD-L,1,1202.0,6,,
2021-06-08,J0237-SKD-L,1,1494.0,6,,
2021-06-08,JNE2049-KR-351-XL,1,487.0,41,,
2021-06-08,JNE2270-KR-487-L,1,552.0,414,,
2021-06-08,JNE2305-KR-533-L,1,422.0,284,,
2021-06-08,JNE3030-KR-L,1,747.0,7,,
2021-06-08,JNE3365-KR-1052-L,1,422.0,15,,
2021-06-08,JNE3421-KR-XL,1,422.0,8,,
2021-06-08,JNE3467-KR-XL,1,519.0,4,,
2021-06-08,JNE3497-KR-L,1,454.0,1,,
2021-06-08,JNE3535-KR-XL,1,389.0,2,,
2021-06-08,JNE3640-TP-XL,1,454.0,6,,
2021-06-08,JNE3643-TP-L,1,357.0,0,,
2021-06-08,JNE3643-TP-XL,1,357.0,2,,
2021-06-08,JNE3647-TP-XL,1,422.0,1,,
2021-06-08,JNE3649-TP-L,1,487.0,1,,
2021-06-08,JNE3651-TP-L,1,454.0,19,,
2021-06-08,JNE3652-TP-XL,1,422.0,5,,
2021-06-08,JNE3653-TP-L,1,454.0,2,,
2021-06-08,JNE3656-TP-XL,1,454.0,67,,
2021-06-08,JNE3657-TP-XL,1,422.0,2,,
2021-06-08,JNE3658-TP-L,1,422.0,6,,
2021-06-08,JNE3659-TP-L,1,389.0,29,,
2021-06-08,JNE3660-TP-L,1,422.0,16,,
2021-06-08,JNE3667-TP-XL,1,454.0,7,,
2021-06-08,JNE3670-TU-L,1,519.0,3,,
2021-06-08,JNE3672-TU-XL,1,487.0,0,,
2021-06-08,JNE3673-TU-XL,1,519.0,3,,
2021-06-08,JNE3674-TU-XL,1,487.0,63,,
2021-06-08,JNE3712-TP-L,1,454.0,6,,
2021-06-08,KURTI,1,422.0,0,,
2021-06-08,SET094-KR-NP-XL,1,942.0,41,,
2021-06-11,J0109-SKD-L,1,1072.0,5,,
2021-06-11,J0109-SKD-M,1,1072.0,6,,
2021-06-11,J0109-SKD-S,1,1072.0,26,,
2021-06-11,J0109-SKD-XL,1,1072.0,2,,
2021-06-11,J0109-SKD-XS,1,1072.0,125,,
2021-06-11,J0109-SKD-XXL,1,1072.0,6,,
2021-06-11,J0109-SKD-XXXL,1,1072.0,6,,
2021-06-11,J0110-SKD-L,1,1169.0,1,,
2021-06-11,J0110-SKD-M,1,1169.0,2,,
2021-06-11,J0110-SKD-S,1,1169.0,22,,
2021-06-11,J0110-SKD-XL,1,1169.0,2,,
2021-06-11,J0110-SKD-XS,1,1169.0,63,,
2021-06-11,J0110-SKD-XXL,1,1169.0,2,,
2021-06-11,J0110-SKD-XXXL,1,1169.0,1,,
2021-06-11,J0127-SKD-XS,1,1104.0,22,,
2021-06-11,J0127-SKD-XXL,1,1104.0,33,,
2021-06-11,J0281-SKD-L,1,1494.0,86,,
2021-06-11,J0281-SKD-M,1,1494.0,164,,
2021-06-11,J0281-SKD-S,1,1494.0,155,,
2021-06-11,J0281-SKD-XL,1,1494.0,46,,
2021-06-11,J0281-SKD-XS,1,1494.0,97,,
2021-06-11,J0281-SKD-XXL,1,1494.0,14,,
2021-06-11,J0281-SKD-XXXL,1,1494.0,52,,
2021-06-11,J0285-SKD-L,1,1494.0,80,,
2021-06-11,J0285-SKD-M,1,1494.0,79,,
2021-06-11,J0285-SKD-S,1,1494.0,111,,
2021-06-11,J0285-SKD-XL,1,1494.0,86,,
2021-06-11,J0285-SKD-XS,1,1494.0,80,,
