month,outlet_id,opt_price,opt_demand,opt_profit,opt_revenue
January,OUT010,264.0,13.0,943.969812411814,3432.0
January,OUT013,302.5,16.0,1854.4391823042652,4840.0
January,OUT017,302.5,16.0,1854.4391823042652,4840.0
January,OUT018,313.0,15.0,1868.9500623469107,4695.0
January,OUT019,264.0,13.0,943.969812411814,3432.0
January,OUT027,320.0,17.0,2452.349385130396,5440.0
January,OUT035,302.5,16.0,1854.4391823042652,4840.0
January,OUT045,302.5,16.0,1854.4391823042652,4840.0
January,OUT046,302.5,16.0,1854.4391823042652,4840.0
January,OUT049,302.5,16.0,1854.4391823042652,4840.0
February,OUT010,264.0,13.0,943.969812411814,3432.0
February,OUT013,302.5,16.0,1854.4391823042652,4840.0
February,OUT017,302.5,16.0,1854.4391823042652,4840.0
February,OUT018,313.0,15.0,1868.9500623469107,4695.0
February,OUT019,264.0,13.0,943.969812411814,3432.0
February,OUT027,320.0,17.0,2452.349385130396,5440.0
February,OUT035,302.5,16.0,1854.4391823042652,4840.0
February,OUT045,302.5,16.0,1854.4391823042652,4840.0
February,OUT046,302.5,16.0,1854.4391823042652,4840.0
February,OUT049,302.5,16.0,1854.4391823042652,4840.0
March,OUT010,313.875,15.0,1818.1263006063891,4708.125
March,OUT013,320.0,20.0,2982.4342970536113,6400.0
March,OUT017,320.0,20.0,2982.4342970536113,6400.0
March,OUT018,320.0,20.0,3015.669925717851,6400.0
March,OUT019,313.875,15.0,1818.1263006063891,4708.125
March,OUT027,320.0,23.0,3601.2703516760794,7360.0
March,OUT035,320.0,20.0,2982.4342970536113,6400.0
March,OUT045,320.0,20.0,2982.4342970536113,6400.0
March,OUT046,320.0,20.0,2982.4342970536113,6400.0
March,OUT049,320.0,20.0,2982.4342970536113,6400.0
April,OUT010,313.875,15.0,1818.1263006063891,4708.125
April,OUT013,320.0,20.0,2982.4342970536113,6400.0
April,OUT017,320.0,20.0,2982.4342970536113,6400.0
April,OUT018,320.0,20.0,3015.669925717851,6400.0
April,OUT019,313.875,15.0,1818.1263006063891,4708.125
April,OUT027,320.0,23.0,3601.2703516760794,7360.0
April,OUT035,320.0,20.0,2982.4342970536113,6400.0
April,OUT045,320.0,20.0,2982.4342970536113,6400.0
April,OUT046,320.0,20.0,2982.4342970536113,6400.0
April,OUT049,320.0,20.0,2982.4342970536113,6400.0
May,OUT010,313.875,15.0,1818.1263006063891,4708.125
May,OUT013,320.0,20.0,2982.4342970536113,6400.0
May,OUT017,320.0,20.0,2982.4342970536113,6400.0
May,OUT018,320.0,20.0,3015.669925717851,6400.0
May,OUT019,313.875,15.0,1818.1263006063891,4708.125
May,OUT027,320.0,23.0,3601.2703516760794,7360.0
May,OUT035,320.0,20.0,2982.4342970536113,6400.0
May,OUT045,320.0,20.0,2982.4342970536113,6400.0
May,OUT046,320.0,20.0,2982.4342970536113,6400.0
May,OUT049,320.0,20.0,2982.4342970536113,6400.0
June,OUT010,313.875,15.0,1818.1263006063891,4708.125
June,OUT013,320.0,20.0,2982.4342970536113,6400.0
June,OUT017,320.0,20.0,2982.4342970536113,6400.0
June,OUT018,320.0,20.0,3015.669925717851,6400.0
June,OUT019,313.875,15.0,1818.1263006063891,4708.125
June,OUT027,320.0,23.0,3601.2703516760794,7360.0
June,OUT035,320.0,20.0,2982.4342970536113,6400.0
June,OUT045,320.0,20.0,2982.4342970536113,6400.0
June,OUT046,320.0,20.0,2982.4342970536113,6400.0
June,OUT049,320.0,20.0,2982.4342970536113,6400.0
July,OUT010,250.0,15.0,923.347631832432,3750.0
July,OUT013,265.925,18.0,1642.3524295819743,4786.650000000001
July,OUT017,265.925,18.0,1642.3524295819743,4786.650000000001
July,OUT018,271.0,17.0,1603.9066707009465,4607.0
July,OUT019,250.0,15.0,923.347631832432,3750.0
July,OUT027,279.575,20.0,2117.7006755295297,5591.5
July,OUT035,265.925,18.0,1642.3524295819743,4786.650000000001
July,OUT045,265.925,18.0,1642.3524295819743,4786.650000000001
July,OUT046,265.925,18.0,1642.3524295819743,4786.650000000001
July,OUT049,265.925,18.0,1642.3524295819743,4786.650000000001
August,OUT010,250.0,15.0,923.347631832432,3750.0
August,OUT013,265.925,18.0,1642.3524295819743,4786.650000000001
August,OUT017,265.925,18.0,1642.3524295819743,4786.650000000001
August,OUT018,271.0,17.0,1603.9066707009465,4607.0
August,OUT019,250.0,15.0,923.347631832432,3750.0
August,OUT027,279.575,20.0,2117.7006755295297,5591.5
August,OUT035,265.925,18.0,1642.3524295819743,4786.650000000001
August,OUT045,265.925,18.0,1642.3524295819743,4786.650000000001
August,OUT046,265.925,18.0,1642.3524295819743,4786.650000000001
August,OUT049,265.925,18.0,1642.3524295819743,4786.650000000001
