month,static_profit,opt_profit,diff_abs,diff_pct_vs_static
January,17048.92531233941,17335.874166126527,286.9488537871184,1.6830905674707544
February,17048.92531233941,17335.874166126527,286.9488537871184,1.6830905674707544
March,26730.01736193532,28147.798660928376,1417.7812989930571,5.304079229712877
April,26730.01736193532,28147.798660928376,1417.7812989930571,5.304079229712877
May,26730.01736193532,28147.798660928376,1417.7812989930571,5.304079229712877
June,26730.01736193532,28147.798660928376,1417.7812989930571,5.304079229712877
July,13610.034277319464,15422.417187387186,1812.3829100677212,13.316519805449566
August,13610.034277319464,15422.417187387186,1812.3829100677212,13.316519805449566
September,13610.034277319464,15422.417187387186,1812.3829100677212,13.316519805449566
October,24943.088360964954,26097.529579209633,1154.4412182446795,4.628301040906141
November,24943.088360964954,26097.529579209633,1154.4412182446795,4.628301040906141
December,17048.92531233941,17335.874166126527,286.9488537871184,1.6830905674707544
