month,static_profit,opt_profit,diff_abs,diff_pct_vs_static
January,17049.681281620797,17335.874166126527,286.19288450573004,1.6785820202647426
February,17049.681281620797,17335.874166126527,286.19288450573004,1.6785820202647426
March,28073.419613847003,28147.798660928376,74.37904708137285,0.2649447345726487
April,28073.419613847003,28147.798660928376,74.37904708137285,0.2649447345726487
May,28073.419613847003,28147.798660928376,74.37904708137285,0.2649447345726487
June,28073.419613847003,28147.798660928376,74.37904708137285,0.2649447345726487
July,15268.557634343895,15422.417187387186,153.85955304329036,1.0076888513503774
August,15268.557634343895,15422.417187387186,153.85955304329036,1.0076888513503774
September,15268.557634343895,15422.417187387186,153.85955304329036,1.0076888513503774
October,25925.764795515413,26097.529579209633,171.76478369421966,0.6625254261503258
November,25925.764795515413,26097.529579209633,171.76478369421966,0.6625254261503258
December,17049.681281620797,17335.874166126527,286.19288450573004,1.6785820202647426
