month,static_profit,opt_profit,diff_abs,diff_pct_vs_static
January,17253.45377407955,17335.874166126527,82.42039204697721,0.4777037289241194
February,17253.45377407955,17335.874166126527,82.42039204697721,0.4777037289241194
March,26946.416170084456,28147.798660928376,1201.38249084392,4.45841288600626
April,26946.416170084456,28147.798660928376,1201.38249084392,4.45841288600626
May,26946.416170084456,28147.798660928376,1201.38249084392,4.45841288600626
June,26946.416170084456,28147.798660928376,1201.38249084392,4.45841288600626
July,13788.209908364795,15422.417187387186,1634.2072790223901,11.852207718646474
August,13788.209908364795,15422.417187387186,1634.2072790223901,11.852207718646474
September,13788.209908364795,15422.417187387186,1634.2072790223901,11.852207718646474
October,25157.94488174386,26097.529579209633,939.5846974657725,3.734743445390058
November,25157.94488174386,26097.529579209633,939.5846974657725,3.734743445390058
December,17253.45377407955,17335.874166126527,82.42039204697721,0.4777037289241194
